PR_number,repo,commment,user,created_at,PR_author
aries109,aries,"Have to admit i'm not an user of that but if not already supported jira plugin (https://plugins.jetbrains.com/plugin/11169-jira-integration) sounds like a good way to get that feature quite smoothly. Will likely need some context menu/annotate integration but it has already all you need to make it smooth.

Just my 2cts indeed",rmannibucau,6/24/20,ackelcn
aries109,aries,"`When you click a code line, it then presents a window to show the issue reports and commits.`

Yes. It could work like this.

`I agree that some comments may describe too simple code lines, but shall we still accept comments on those complicated ones?`

I think it is like with comments in general. You put them were you think that additional explanations are required to understand the code.  At the same time every comment is a liability. Comments tend to rott as they are not tested by junit. So over time a comment might describe something that is not matching the changed code anymore at all. This is why I favour improving the code instead of adding many comments. 

Jiras can be used to track and explain the requirements. So sometimes links to them make sense. Unfortunately they do not track the changes over time. So possibly a jira represents a requirement at some point in time but later the requirement might have vanished or changed. The old jira issue will not reflect this. So adding the link is easy and can be automated as you demonstrate with your tool. Managing the link over time is much harder. 

This is why I think adding the links on the fly while viewing from the blame feature is better. When the code is changed because of changed requirements then the on the fly tool will automatically change to the new jiras. ",cschneider,6/24/20,ackelcn
aries109,aries,"Hi, cschneider, I agree with you that comments can become out-of-date, but my comments are automatically geneated.  It shall be easy to totally remove my generated comments, and re-generate them to keep them up-to-date. Perhaps, I shall find a better way to manage manual comments and my generated comments. It can be a better way to present automatic comments when there is no manual comment and programmers do some comments. Here, they can click a bottom, and my tool show its generated comments. 

I also agree with you that some issue reports can be invalid. When I implement my tool, I found some cases where the changes of an issue report are totally rewritten by follow-up changes. Are those issue reports one type of your mentioned invalid JIRA issues? Is a tool useful, if that tool can find those invalid issue reports for you?  ",ackelcn,6/24/20,ackelcn
aries109,aries,"I think the idea of adding the links to jira isssues in the code is flawed. Instead add them while viewing. Basically it is simply an improved ""blame"" view.

The blame view also kind of automates that issues are not linked anymore when all their code lines are replaced by newer commits. So I think this can sort itself out automatically in most cases.

Jira is simply not meant to be a good requirements tool. So I think it is normal that older jira issues might not represent the current requirements anymore.",cschneider,6/24/20,ackelcn
aries109,aries,"I agree with @cschneider so since we've had not other feedback on this for a long time lets close it.

However, we do appreciate the contribution and interest :)",rotty3000,4/4/21,ackelcn
cassandra10,cassandra,"It's fix for https://issues.apache.org/jira/browse/CASSANDRA-3741.
The problem there is that when ColumnFamily got all columns deleted, the size() method returns 0 despite the fact that actual object size is at least 40 bytes. 
It affects calculations of whole Memtable size. In my case I deleted millions of columns and Cassandra didn't calculate Memtable size correctly, and didn't flush it. It caused OOM crash of DB.
",akolyadenko,5/3/12,akolyadenko
cassandra10,cassandra,"Requested to close all open pull requests by Cassandra PMC
",jfarrell,5/8/14,akolyadenko
groovy10,groovy,,fpavageau,5/10/15,fpavageau
groovy10,groovy,"A trick we use to be able to add such tests into the build is to use `notYetImplemented` which is an available method in your test class, e.g. add the following as the first line of your test:

```
if (notYetImplemented()) return
```

Also, you might like to update the comment header from one of the other recent Groovy source files - we are getting ready to release under Apache guidelines and have tweaked the wording slightly.
",paulk-asert,5/19/15,fpavageau
groovy10,groovy,"Thanks Paul, I've updated the license in the header and added the `notYetImplemented()` call to the (otherwise failing) method.
",fpavageau,5/19/15,fpavageau
groovy10,groovy,"@paulk-asert I guess it's functionally equivalent, but even easier/more obvious to annotate the test method with @NotYetImplemented (http://docs.groovy-lang.org/latest/html/gapi/groovy/transform/NotYetImplemented.html)?
",PascalSchumacher,5/19/15,fpavageau
groovy10,groovy,"I like that, I've pushed the modified version.
",fpavageau,5/19/15,fpavageau
groovy10,groovy,"Yep, that's good too. I tend to always use the annotation version with my JUnit 4 tests but often use the old version with my JUnit 3 style tests - but maybe that's just out of habit. Using the annotation is good in that case too.
",paulk-asert,5/19/15,fpavageau
groovy10,groovy,"Thanks!
",PascalSchumacher,5/21/15,fpavageau
subversion18,subversion,Primarily an accessibility concern for screen reader software.,skotfred,1/23/19,skotfred
subversion18,subversion,"Hello. Thanks for offering a contribution to the Subversion project. Unfortunately, we looked at your patch and it seems that the changes themselves are mostly irrelevant, and those that add the ""lang"" attribute where it's not allowed by the DTD are actually wrong.

We encourage contributors to start at these pages:

    https://subversion.apache.org/contributing.html
    https://subversion.apache.org/reporting-issues.html

If you write to the mailing list, as described there, then we can help you come up with a correct fix for any problems you are seeing.

Thanks,
- Julian",julianfoad,1/24/19,skotfred
subversion18,subversion,"The HTML 5 standard (As hosted on w3.org) explicitly allows the lang attribute on each element, including '<html>'. See https://www.w3.org/TR/html52/dom.html#the-lang-and-xmllang-attributes

I'm not sure which DTD is refered to as 'the standard', but it is most likely targeting an outdated HTML version.",rhuijben,2/18/19,skotfred
wicket101,"wicket
",tkruse,tkruse,2/25/15,tkruse
wicket101,"wicket
",svenmeier,svenmeier,2/25/15,tkruse
wicket101,"wicket
",klopfdreh,klopfdreh,2/26/15,tkruse
wicket101,"wicket
",martin-g,martin-g,3/12/15,tkruse
wicket101,"wicket
",tkruse,tkruse,3/12/15,tkruse
